complaint,priority,parts,repair_person
Sockets are not working in 107,3,Yes,"Yes, An electrician"
Sir hot water is not available in the mornings,3,No,"Yes, A plumber"
Sir room no.59 fan is not working,4,Yes,"Yes, An electrician"
sir fix the west side 1st floor bathroom,3,No,"Yes, A plumber"
"Sir, room no 181 tubelight needs to be replaced ",4,Yes,"Yes, An electrician"
2nd floor drinking water is not available since morning. please look into it.,4,No,"Yes, A plumber"
"Room no 208 also sir, curtain holder issue.",2,Yes,"Yes, A carpenter"
RO Plant is also not working for east side.,4,No,"Yes, An electrician"
No water in second floor West side restroom,3,No,"Yes, A plumber"
Lock is not working in the room number 210,2,Yes,"Yes, A carpenter"
Wifi is not working in my room number 011,4,No,"Yes, A wifi Technician"
the air pump is leaking,3,Yes,"Yes, A plumber"
We understand there is a shortage of water but still we are facing issues,4,No,"Yes, A plumber"
Room no 238 electric sockets were not working,3,Yes,"Yes, An electrician"
the water issue is in 1st floor west side,3,No,"Yes, A plumber"
Room no 61 fan not working,4,Yes,"Yes, An electrician"
There's no drinking water in any of the water dispenser.,5,No,"Yes, A plumber"
No water in washroom's on any floor.... Please do something...  sir,4,No,"Yes, A plumber"
Wifi is not working In room -161,4,No,"Yes, A wifi Technician"
Drinking water not available in 3rd floor,4,No,"Yes, A plumber"
Electric Issue again,3,No,"Yes, An electrician"
"sir, it's almost 5 days there is no water in the morning, in fact no water after evening too",4,No,"Yes, A plumber"
And Sometimes no electricity in restroom also,3,No,"Yes, An electrician"
Room no.242 router is not working,4,Yes,"Yes, A wifi Technician"
Fan not working in my room,4,Yes,"Yes, An electrician"
Sir Room no 242 sockets are not working,3,Yes,"Yes, An electrician"
Water leaking in first floor west bathroom,3,Yes,"Yes, A plumber"
"Some machinery needs repair,",3,Yes,Others
Wifi not working in ROOM-27,4,No,"Yes, A wifi Technician"
Leakage issue,3,No,"Yes, A plumber"
Room no 166 fan not working,4,Yes,"Yes, An electrician"
Wifi is not working in any room,4,No,"Yes, A wifi Technician"
No water in 3rd floor also,3,No,"Yes, A plumber"
Drinking water available in hostel,1,No,Others
And now there is not even normal water in the washrooms.,4,No,"Yes, A plumber"
Room no 239 router is not working,4,Yes,"Yes, A wifi Technician"
Sockets are not working in 107,3,Yes,"Yes, An electrician"
Room no. 119 main switch not working,3,Yes,"Yes, An electrician"
No electricity in Westside toilet from yesterday...,4,No,"Yes, An electrician"
"First floor west side bathroom, current is leaking through bathroom taps",5,Yes,"Yes, An electrician"
"Room no 166 , window curtain holder need to be fixed",2,Yes,"Yes, A carpenter"
"we're experiencing electrical shocks from west side 1st floor bathroom handles, door panels, and even in the water",5,Yes,"Yes, An electrician"
Water is not available in the ground floor west side toilets,3,No,"Yes, A plumber"
please change the fan regulator and tubelight is also not working,4,Yes,"Yes, An electrician"
"sir Kindly do something about drinking water quality, it tastes really bad.",4,No,"Yes, A plumber"
No water in washrooms,3,No,"Yes, A plumber"
"No water in washrooms anywhere in the hostel, please resolve the issue",4,No,"Yes, A plumber"
no water in east side,3,No,"Yes, A plumber"
Sir wifi is not working in any room,4,No,"Yes, A wifi Technician"
No drinking water at 2nd floor,4,No,"Yes, A plumber"
Wifi not working room 07,4,No,"Yes, A wifi Technician"
The fan in my room (Room No. 10) has not been working for over a month now,4,Yes,"Yes, An electrician"
Drinking water on any floor?,4,No,"Yes, A plumber"
No water on the 2nd floor anywhere,3,No,"Yes, A plumber"
No water in first floor,3,No,"Yes, A plumber"
Lamp. Is not working in room 210,4,Yes,"Yes, An electrician"
"no water, second floor west side restrooms",3,No,"Yes, A plumber"
"Due to lack of WiFi connectivity, we are facing a lot of problems.",4,No,"Yes, A wifi Technician"
No water in the 2nd floor washroom !,3,No,"Yes, A plumber"
No water in hostel....,4,No,"Yes, A plumber"
Water pressure is too low because of some water pipe line broken,3,Yes,"Yes, A plumber"
No water on 2nd floor east side,3,No,"Yes, A plumber"
Normal drinking water is not coming on ground floor from last three or four days.,4,No,"Yes, A plumber"
Sockets are not working in 107,3,Yes,"Yes, An electrician"
Room no 51 fan not working,4,Yes,"Yes, An electrician"
No water in the entire hostel we have classes tomorrow,5,No,"Yes, A plumber"
Drinking water is not coming in any floor.,5,No,"Yes, A plumber"
No drinking water anywhere,5,No,"Yes, A plumber"
Since yesterday water is not available.,4,No,"Yes, A plumber"
The main issue is the faulty electrical sockets which is delivering way too much current than required,5,Yes,"Yes, An electrician"
Internet is not working now also,4,No,"Yes, A wifi Technician"
Room no-66 Wifi is not working sir.,4,No,"Yes, A wifi Technician"
Water quality issue,4,No,"Yes, A plumber"
91 fan not working,4,Yes,"Yes, An electrician"
"Sir, in 3rd floor, multiple students' laptop chargers are not working due to some power fluctuations.",5,No,"Yes, An electrician"
"120- one socket, tubelight and fan regulator is not working",4,Yes,"Yes, An electrician"
"Room no 38, window curtain holder need to fix",2,Yes,"Yes, A carpenter"
No water in 2nd floor also.,3,No,"Yes, A plumber"
WIFi is not working in Every Room,4,No,"Yes, A wifi Technician"
 the switch is problem that should be replaced,3,Yes,"Yes, An electrician"
There is a tap in east side of first floor washing area which was brocken few months back. It is now blocked with some stick. Still small amount of water is leaking.,3,Yes,"Yes, A plumber"
No water on either side of the hostel. Please look into this matter asap,4,No,"Yes, A plumber"
Room no 102 fan not working,4,Yes,"Yes, An electrician"
"room no. 120's fan regulator is not working, it is getting hot day by day",4,Yes,"Yes, An electrician"
Fan not working,4,Yes,"Yes, An electrician"
"No water in restrooms,",3,No,"Yes, A plumber"
No water anywhere,5,No,"Yes, A plumber"
Toilet flush is not working/ completely leaking,3,Yes,"Yes, A plumber"
Drinking water quality is not good.,4,No,"Yes, A plumber"
First floor water filter issue,3,No,"Yes, A plumber"
Sir there is No water in 2nd floor West side washrooms,3,No,"Yes, A plumber"
"there is some issues related to room electric earthing, due to neutral cut somewhere in line or at the devices.",5,Yes,"Yes, An electrician"
51- fan not working,4,Yes,"Yes, An electrician"
Room no 239 sockets are not working,3,Yes,"Yes, An electrician"
When can we expect water in a water cooler? . Pls ask the authority to take some necessary action.,4,No,"Yes, An electrician"
room no. 119 main switch not working,3,Yes,"Yes, An electrician"
Also there is no water available in the early  morning of the last three days.,4,No,"Yes, A plumber"
Also again no water in ground floor west side,3,No,"Yes, A plumber"
Water flow issue,3,No,"Yes, A plumber"
No drinking water in 2nd floor,4,No,"Yes, A plumber"
No water in bathroom,3,No,"Yes, A plumber"
Room 167 switch not working,3,Yes,"Yes, An electrician"
2nd floor East wing water cooler also no water,4,No,"Yes, An electrician"
Sir room no 166 fan not working,4,Yes,"Yes, An electrician"
the west wing's washroom two flushing systems and one shower leaking continuously,3,Yes,"Yes, A plumber"
"west side bathroom, we are getting electrocuted from touching handles and pipes, please do something,  it's urgent.",5,Yes,"Yes, An electrician"
No water in the washroom !,3,No,"Yes, A plumber"
I again got electric shock in West Side washroom from tap and water also of 1st floor,5,No,"Yes, An electrician"
Reading and night lamp not working,4,Yes,"Yes, An electrician"
"Earthing leakage issue, electric shock",5,Yes,"Yes, An electrician"
Scocket problem in room no 118,3,Yes,"Yes, An electrician"
Room no 67 sockets is not working,3,Yes,"Yes, An electrician"
RCCB tripping issue,4,No,"Yes, An electrician"
"The risk of electrocution, especially in the bathroom, is a critical safety concern. I urge the authorities to conduct a thorough inspection and resolve this issue at the earliest ",5,Yes,"Yes, An electrician"
kindly solve the water issue,4,No,"Yes, A plumber"
Electric board of room no 83 get out of the wall please fix it as soon as possible.,3,Yes,"Yes, An electrician"
"Room no. 136, window curtain holder need to be fixed",2,Yes,"Yes, A carpenter"
